IDProtocollo,_TipoPersona,_AANascita,_Sesso,_TipoLesione,_Deceduto,_DecedutoDopo
2678188,Pedone,1930,F,Rimandato,False,NON DECEDUTO
2683120,Pedone,0,F,Rimandato,False,NON DECEDUTO
2717730,Pedone,1988,M,Illeso,False,
2710714,Pedone,1970,F,Illeso,False,
2656473,Pedone,0,M,Illeso,False,
2695762,Pedone,2003,M,Illeso,False,
2687011,Pedone,1978,M,Illeso,False,
2678068,Pedone,1935,M,Illeso,False,
2654392,Pedone,1976,M,Illeso,False,
2658205,Pedone,1961,M,Illeso,False,
2650452,Pedone,1934,F,Illeso,False,
