_ID,_Gruppo,_DataOraIncidente,_Localizzazione1,_Localizzazione2,_Strada1,_DaSpecificare,_NaturaIncidente,_ParticolaritaStrade,_TipoStrada,_FondoStradale,_Pavimentazione,_Segnaletica,_CondizioneAtmosferica,_Traffico,_Visibilita,_Illuminazione,_NUM_FERITI,_NUM_RISERVATA,_NUM_MORTI,_NUM_ILLESI,_Longitudine,_Latitudine,_CONFERMATO,__prefix,_Strada02,_Strada2,_Chilometrica
2564052,12,2015-11-01T20:30:00,Strada Urbana,da specificare,VIA LAURENTINA,100mt dopo incrocio LAURENTINA-TRO PAGNOTTA,Scontro laterale fra veicoli in marcia,Rettilineo,Due carreggiate,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Buona,Sufficiente,0,0,0,3,12.48227,41.80369,True,z,,,
2563379,20,2015-11-01T20:40:00,Strada Urbana,all'intersezione con,PIAZZA LAURO DE BOSIS,,Tamponamento,Intersezione semaforizzata,Due carreggiate,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,Sufficiente,1,0,0,1,,,False,z,VIALE DEL FORO ITALICO,VIALE DEL FORO ITALICO,
2563670,1,2015-11-01T21:40:00,Strada Urbana,in prossimitíæ,PIAZZA PIETRO D'ILLIRIA,,Veicolo in marcia contro ostacolo fisso,Rettilineo,Una carreggiata a senso unico di marcia,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Sufficiente,Sufficiente,0,0,0,1,12.48007,41.88416,True,z,del civico n.,,2
2563515,7,2015-11-01T22:10:00,Strada Urbana,all'intersezione semaforizzata con,VIALE PALMIRO TOGLIATTI,,Investimento di pedone,Intersezione semaforizzata,Due carreggiate,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Insufficiente,Insufficiente,0,1,0,2,12.57425,41.90012,True,z,VIA GIORGIO PERLASCA,VIA GIORGIO PERLASCA,
2563292,8,2015-11-01T22:30:00,,in prossimitíæ,VIA VIRGINIO VESPIGNANI,,Veicolo in marcia contro ostacolo accidentale,,,,,,,,,,0,0,0,1,,,False,z,del civico n.,,23
2563299,8,2015-11-01T22:40:00,Strada Urbana,all'intersezione con,VIA MASSA DI SAN GIULIANO,,Scontro frontale-laterale DX fra veicoli in marcia,Incrocio,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Buona,Sufficiente,0,0,0,4,12.69174,41.90619,True,z,VIA S. MARIA DI LORETO,VIA S. MARIA DI LORETO,
2564170,12,2015-11-01T22:50:00,Strada Urbana,in prossimitíæ,VIALE DELL'AERONAUTICA,,Scontro laterale fra veicoli in marcia,Rettilineo,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Buona,Sufficiente,1,0,0,1,12.47627,41.82602,False,z,del civico n.,,52
2563659,1,2015-11-01T23:00:00,Strada Urbana,all'intersezione semaforizzata con,PIAZZA DI PORTA MAGGIORE,,Investimento di pedone,Intersezione semaforizzata,Una carreggiata a senso unico di marcia,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Sufficiente,Insufficiente,1,0,0,1,12.51434,41.89206,True,z,VIA GIOVANNI GIOLITTI,VIA GIOVANNI GIOLITTI,
2563279,8,2015-11-02T01:00:00,,all'intersezione con,VIA DEL FOSSO DI S. MAURA,,Veicolo in marcia contro ostacolo accidentale,,,,,,,,,,0,0,0,1,,,False,z,VIA CESARE AURELI,VIA CESARE AURELI,
2563584,1,2015-11-02T04:30:00,Strada Urbana,in prossimitíæ,VIA DI MONTE TESTACCIO,,Veicolo in marcia contro veicolo fermo,Curva a visuale libera,Una carreggiata a senso unico di marcia,Asciutto,Asfaltata,Assente,Sereno,Scarso,Buona,Ore Diurne,0,0,0,6,12.47624,41.87643,True,z,del civico n.,,93
2564503,9,2015-11-02T06:05:00,,da specificare,VIA APPIA NUOVA,altezza civico 1009,Scontro frontale fra veicoli in marcia,,,,,,,,,,1,0,0,5,12.5516,41.83656,False,z,,,
