IDProtocollo,Progressivo,IDVeicolo,TipoVeicolo,StatoVeicolo,Marca,Modello
2685615,1,1034917,Autovettura privata,In marcia / fermata / arresto,Citroen,C3
2685615,2,1034918,Motociclo a solo,In marcia / fermata / arresto,Honda,SH
2685615,3,1034919,Motociclo a solo,In marcia / fermata / arresto,Aprilia,Leonardo
2685616,1,1034974,Autovettura privata,In marcia / fermata / arresto,Peugeot,206
2685616,2,1034980,Autovettura privata,In marcia / fermata / arresto,Peugeot,206
2685617,1,1034921,Autovettura privata,In marcia / fermata / arresto,BMW,(ignoto)
2685617,2,1034925,Autovettura privata,In marcia / fermata / arresto,Volkswagen,Passat
2685623,1,1035069,Autovettura privata,In marcia / fermata / arresto,Ford,KA
2685623,2,1035075,Autovettura privata,In marcia / fermata / arresto,Citroen,C 3
2685630,1,1034961,Autovettura privata,In marcia / fermata / arresto,Volkswagen,Polo
2685630,2,1034966,Autovettura privata,In marcia / fermata / arresto,Hyundai,i 30
2685630,3,1034967,Autovettura privata,Sosta,Ford,Fiesta
2685630,4,1034971,Autovettura privata,Sosta,Toyota,Auris
2685630,5,1034972,Autovettura privata,Sosta,Mitsubishi,Colt
2685632,1,1034940,Autovettura privata,In marcia / fermata / arresto,Opel,Corsa
2685632,2,1034931,Motociclo a solo,In marcia / fermata / arresto,Honda,PCX
2685642,1,1034938,Autovettura privata,In marcia / fermata / arresto,Citroen,C 3
2685645,1,1035132,Autovettura privata,In marcia / fermata / arresto,Chevrolet,Matiz
2685645,2,1035146,Autovettura privata,In marcia / fermata / arresto,Opel,Corsa
2685652,1,1035097,Autovettura privata,In marcia / fermata / arresto,Renault,Clio
2685652,2,1035121,Motociclo a solo,In marcia / fermata / arresto,Honda,Motor
2685659,1,1035028,Autovettura privata,In marcia / fermata / arresto,Lancia,Y
2685659,2,1035054,Autovettura privata,In marcia / fermata / arresto,Mercedes,ML 270
2685675,1,1034951,Autovettura privata,In marcia / fermata / arresto,Lancia,Musa
2685675,2,1034963,Autovettura privata,In marcia / fermata / arresto,Volkswagen,Lupo
2685676,1,1035027,Autovettura privata,In marcia / fermata / arresto,Peugeot,106
2685676,2,1035042,Autovettura privata,In marcia / fermata / arresto,Mitsubishi,Colt
2685679,1,1034941,Autovettura privata,In marcia / fermata / arresto,Nissan,QASHQAI
2685679,2,1034942,Autovettura privata,In marcia / fermata / arresto,Fiat,Panda
2685682,1,1035041,Autovettura privata,In marcia / fermata / arresto,Audi,A 4
2685682,2,1035043,Autovettura privata,In marcia / fermata / arresto,Ford,Focus
2685687,1,1035073,Autovettura privata,In marcia / fermata / arresto,Ford,Fiesta
2685693,1,1035123,Autovettura privata,In marcia / fermata / arresto,Volkswagen,Passat
2685693,2,1035134,Autovettura privata,Sosta,Opel,Astra
2685698,1,1034949,Motociclo a solo,In marcia / fermata / arresto,Honda,SH
2685698,2,1034950,Motociclo a solo,In marcia / fermata / arresto,Kawasaki,Z400J
2685700,1,1035076,Autovettura privata,In marcia / fermata / arresto,Mercedes,307
2685700,2,1035082,Autovettura privata,In marcia / fermata / arresto,Fiat,Punto
2685716,1,1034952,Autovettura privata,In marcia / fermata / arresto,Citroen,C 1
2685716,2,1034958,Autovettura privata,In marcia / fermata / arresto,Hyundai,i 20
2685725,1,1040912,Autovettura privata,In marcia / fermata / arresto,BMW,--
2685732,1,1041005,Autovettura privata,In marcia / fermata / arresto,Ford,Fiesta
2685739,1,1034957,Autovettura privata,In marcia / fermata / arresto,Volkswagen,Golf
2685739,2,1034960,Motociclo a solo,In marcia / fermata / arresto,Aprilia,Scarabeo
2685739,3,1034962,Motociclo a solo,In marcia / fermata / arresto,MBK,XCity
2685745,1,1035017,Autovettura privata,In marcia / fermata / arresto,Mercedes,Classe A
2685745,2,1035064,Autovettura privata,Allontanatosi,(ignoto),(ignoto)
2685756,1,1035018,Autocarro inferiore 35 q.,Sosta,Fiat,Fiorino
2685756,2,1035030,Autovettura privata,Sosta,Fiat,Scudo
2685762,1,1034982,Autovettura privata,In marcia / fermata / arresto,Audi,A 4
2685762,2,1034995,Autocarro inferiore 35 q.,In marcia / fermata / arresto,Renault,Trafic
2685766,1,1034993,Autovettura privata,In marcia / fermata / arresto,Toyota,Corolla
2685766,2,1034999,Autovettura privata,In marcia / fermata / arresto,Toyota,Avensis
2685769,1,1034968,Motociclo a solo,In marcia / fermata / arresto,Piaggio,Beverly
2685769,2,1034970,Autovettura di polizia,In marcia / fermata / arresto,Seat,Leon
2685770,1,1034973,Autovettura privata,In marcia / fermata / arresto,Citroen,C2
2685770,2,1034987,Autovettura privata,In marcia / fermata / arresto,Lancia,Ypsilon
2685776,1,1034976,Motociclo a solo,In marcia / fermata / arresto,Honda,SH
2685786,1,1034978,Autovettura privata,In marcia / fermata / arresto,Fiat,Sedici
2685786,2,1034979,Velocipede,In marcia / fermata / arresto,Hazard,(ignoto)
2685786,3,1047274,Autovettura privata,In marcia / fermata / arresto,Ford,Focus
2685794,1,1034981,Autovettura privata,In marcia / fermata / arresto,Volkswagen,Golf
2685794,2,1034984,Autovettura privata,In marcia / fermata / arresto,Lancia,K
2685804,1,1035009,Autovettura di polizia,In marcia / fermata / arresto,Fiat,Bravo
2685804,2,1035106,Motociclo a solo,In marcia / fermata / arresto,Aprilia,Scarabeo
2685813,1,1034996,Autovettura privata,In marcia / fermata / arresto,Fiat,Panda
2685813,2,1035011,Autovettura privata,In marcia / fermata / arresto,Citroen,DS3
2685831,1,1034998,Autobus urbano,In marcia / fermata / arresto,Fiat,Iveco
2685833,1,1035001,Autovettura privata,In marcia / fermata / arresto,Renault,Clio
2685833,2,1035024,Autovettura privata,In marcia / fermata / arresto,Alfa Romeo,MITO
2685837,1,1035004,Autovettura privata,In marcia / fermata / arresto,Adam Opel,(ignoto)
2685848,1,1035010,Autovettura privata,In marcia / fermata / arresto,Fiat,Punto
2685848,2,1035012,Autocarro inferiore 35 q.,In marcia / fermata / arresto,Fiat,Ducato
2685863,1,1035019,Autovettura privata,In marcia / fermata / arresto,Citroen,C 3
