ID,Gruppo,_DataOraIncidente,_Localizzazione1,_Localizzazione2,Strada02,Strada1,Strada2,Chilometrica,DaSpecificare,_NaturaIncidente,_ParticolaritaStrade,_TipoStrada,_FondoStradale,_Pavimentazione,_Segnaletica,_CondizioneAtmosferica,_Traffico,_Visibilita,_Illuminazione,NUM_FERITI,_NUM_RISERVATA,_NUM_MORTI,_NUM_ILLESI,Longitudine,Latitudine,CONFERMATO
2640336,1,1/1/16 18:30,Strada Urbana,all'intersezione con,VIA DEI PONTEFICI,PIAZZA AUGUSTO IMPERATORE,VIA DEI PONTEFICI,,,Scontro frontale/laterale SX fra veicoli in marcia,Incrocio,Una carreggiata a senso unico di marcia,Asciutto,In cubetti di porfido,Orizzontale,Sereno,Scarso,Buona,Sufficiente,0,0,0,2,"1,247,717","4,190,647",True
2639910,8,1/1/16 19:00,Strada Urbana,all'intersezione con,VIA OSCAR ARNULFO ROMERO,VIA DON PRIMO MAZZOLARI,VIA OSCAR ARNULFO ROMERO,,,Scontro frontale/laterale DX fra veicoli in marcia,Incrocio,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Buona,Sufficiente,1,0,0,1,,,False
2639914,8,1/1/16 19:30,Strada Urbana,all'intersezione con,VIA FILIPPO CESARE ANNESSI,VIALE DEI ROMANISTI,VIA FILIPPO CESARE ANNESSI,,,Veicolo in marcia contro ostacolo accidentale,Intersezione non regolata/non segnalata,Due carreggiate,Asciutto,Asfaltata,Verticale ed orizzontale,Nuvoloso,Scarso,Buona,Sufficiente,0,0,0,4,"1,257,733","4,186,753",True
2640358,1,1/1/16 20:15,Strada Urbana,da specificare,,LUNGOTEVERE DELLA FARNESINA,,,PROSSIMITA' ALBERO 9,Veicolo in marcia contro veicolo arresto,Rettilineo,Una carreggiata a senso unico di marcia,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Sufficiente,Sufficiente,0,0,0,3,"1,246,817","4,189,355",True
2639916,8,1/1/16 20:20,Strada Urbana,all'intersezione con,VIA FILIPPO CESARE ANNESSI,VIALE DEI ROMANISTI,VIA FILIPPO CESARE ANNESSI,,,Veicolo in marcia contro ostacolo accidentale,Intersezione non regolata/non segnalata,Due carreggiate,Asciutto,Asfaltata,Verticale ed orizzontale,Nuvoloso,Scarso,Buona,Sufficiente,0,0,0,3,"1,257,733","4,186,753",True
2641520,12,1/1/16 20:30,Strada Urbana,in prossimit•À_,del palo luce n.,VIALE DI VAL FIORITA,,17,,Veicolo in marcia contro veicoli in sosta,Curva a visuale libera,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Nuvoloso,Scarso,Buona,Sufficiente,0,0,0,1,"1,246,473","4,183,984",True
2640181,20,1/1/16 20:40,Strada Urbana,all'intersezione con,VIA DI VIGNA STELLUTI,LARGO DI VIGNA STELLUTI,VIA DI VIGNA STELLUTI,,,Scontro frontale/laterale SX fra veicoli in marcia,Intersezione stradale segnalata,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Buona,Sufficiente,1,0,0,4,,,False
2641570,19,1/1/16 22:10,Strada Urbana,in prossimit•À_,del civico n.,VIA TRIONFALE,,10874,,Veicolo in marcia contro veicolo fermo,Rettilineo,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Buona,Sufficiente,0,0,0,4,"1,241,249","4,195,691",True
2640738,10,1/1/16 23:45,Strada Urbana,da specificare,,VIA LEMONIA,,,fronte civ.191,Veicolo in marcia contro ostacolo fisso,Rettilineo,Una carreggiata a senso unico di marcia,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Buona,Sufficiente,0,0,0,1,"1,255,877","4,185,262",True
2639911,8,2/1/16 0:30,Strada Urbana,all'intersezione con,VIA MILO,VIA MEZZOIUSO,VIA MILO,,,Veicolo in marcia contro ostacolo fisso,Incrocio,Una carreggiata a doppio senso,Asciutto,Asfaltata,Assente,Nuvoloso,Scarso,Sufficiente,Sufficiente,0,0,0,1,"1,267,225","4,186,616",True
