_IDProtocollo,_IDVeicolo,_Progressivo,_TipoPersona,_AnnoNascita,_Sesso,_TipoLesione,_Deceduto,_CinturaCascoUtilizzato,_DecedutoDopo,__prefix,_Airbag
2570753,1004172,2,Conducente,1971,M,Rimandato,False,Non accertato,NON DECEDUTO,z,
2570759,1004082,2,Passeggero,1961,F,Rimandato,False,Non accertato,NON DECEDUTO,z,
2570759,1004082,2,Conducente,1947,M,Rifiuta cure immediate,False,,NON DECEDUTO,z,
2570759,1004081,3,Passeggero,1969,F,Rimandato,False,Non accertato,NON DECEDUTO,z,
2570810,1004090,1,Passeggero,1938,M,Prognosi riservata,False,Non accertato,NON DECEDUTO,z,Esploso
2570810,1004090,1,Conducente,1972,F,Rimandato,False,,NON DECEDUTO,z,
2570810,1004093,2,Conducente,1983,M,Ricoverato,False,,NON DECEDUTO,z,
2570864,1004103,2,Conducente,1999,M,Rimandato,False,,NON DECEDUTO,z,
2570920,1004127,2,Conducente,1967,M,Rifiuta cure immediate,False,Utilizzato,NON DECEDUTO,z,Esploso
2570949,1004137,1,Conducente,1963,M,Ricoverato,False,,NON DECEDUTO,z,
2571243,1004190,1,Conducente,1963,F,Rimandato,False,Non accertato,NON DECEDUTO,z,Inesistente
2571243,1027674,3,Conducente,1987,F,Rimandato,False,Non accertato,NON DECEDUTO,z,Inesistente
2571264,1004193,1,Conducente,1988,F,Rimandato,False,Utilizzato,NON DECEDUTO,z,Inesploso
2571264,1004194,2,Conducente,1988,M,Rimandato,False,Utilizzato,NON DECEDUTO,z,
2571620,1004270,2,Conducente,1989,M,Rifiuta cure immediate,False,Utilizzato,NON DECEDUTO,z,
2571652,1004284,2,Conducente,1971,F,Rimandato,False,Non accertato,NON DECEDUTO,z,Inesploso
2571741,1004301,1,Conducente,1996,M,Ricoverato,False,,NON DECEDUTO,z,
2571741,1004301,1,Passeggero,1994,M,Rimandato,False,,NON DECEDUTO,z,
2571891,1004331,1,Conducente,1963,F,Rimandato,False,Non accertato,NON DECEDUTO,z,
2572011,1004342,1,Passeggero,1949,F,Rimandato,False,Non accertato,NON DECEDUTO,z,Esploso
2572011,1004344,2,Passeggero,1966,F,Rimandato,False,Non accertato,NON DECEDUTO,z,Esploso
2572011,1004344,2,Conducente,1957,M,Rimandato,False,Non accertato,NON DECEDUTO,z,Esploso
2572550,1004415,1,Passeggero,1993,M,Rifiuta cure immediate,False,Non accertato,NON DECEDUTO,z,Inesploso
2572550,1004415,1,Passeggero,1992,F,Rifiuta cure immediate,False,Utilizzato,NON DECEDUTO,z,Inesploso
2572551,1004427,2,Conducente,1958,M,Rifiuta cure immediate,False,Non accertato,NON DECEDUTO,z,
2572555,1004419,1,Passeggero,1993,F,Rimandato,False,,NON DECEDUTO,z,
2572555,1004419,1,Conducente,1989,M,Rimandato,False,,NON DECEDUTO,z,
2572558,1004426,2,Conducente,1975,M,Rimandato,False,Utilizzato,NON DECEDUTO,z,
2572569,1004425,1,Conducente,1971,M,Rimandato,False,,NON DECEDUTO,z,
2572569,1004425,1,Passeggero,1978,F,Ricoverato,False,,NON DECEDUTO,z,
2572596,1004430,2,Conducente,1976,F,Rimandato,False,,NON DECEDUTO,z,
2572645,1004450,2,Passeggero,1992,F,Ricoverato,False,Non accertato,NON DECEDUTO,z,
2572645,1004450,2,Conducente,1991,M,Rimandato,False,,NON DECEDUTO,z,
2572651,1004694,1,Conducente,1992,M,Rifiuta cure immediate,False,Non accertato,NON DECEDUTO,z,Inesploso
2572651,1004700,2,Passeggero,1937,F,Rimandato,False,Non accertato,NON DECEDUTO,z,Esploso
2572657,1004635,1,Passeggero,1995,F,Rifiuta cure immediate,False,Non accertato,NON DECEDUTO,z,
2572657,1004635,1,Conducente,1993,M,Rifiuta cure immediate,False,Non accertato,NON DECEDUTO,z,
2572662,1004439,2,Conducente,1987,F,Rimandato,False,Non accertato,NON DECEDUTO,z,Inesploso
2572669,1007671,1,Conducente,1990,M,Rifiuta cure immediate,False,Non accertato,NON DECEDUTO,z,Inesploso
2572681,1004459,1,Conducente,1991,F,Rimandato,False,Non accertato,NON DECEDUTO,z,Inesploso
2572726,1004463,1,Conducente,1984,M,Rimandato,False,Non accertato,NON DECEDUTO,z,
2572727,1004466,2,Passeggero,1998,M,Rimandato,False,Non accertato,NON DECEDUTO,z,Inesploso
2572727,1004466,2,Conducente,1972,F,Rimandato,False,Non accertato,NON DECEDUTO,z,
2572736,1004509,1,Passeggero,1988,F,Rimandato,False,Non accertato,NON DECEDUTO,z,
2572736,1004509,1,Conducente,1980,M,Rimandato,False,Non accertato,NON DECEDUTO,z,
2572736,1004511,2,Conducente,1990,M,Rimandato,False,,NON DECEDUTO,z,
2572736,1004511,2,Passeggero,1994,M,Rimandato,False,Non accertato,NON DECEDUTO,z,
2572740,1004477,2,Conducente,1964,M,Rimandato,False,Non accertato,NON DECEDUTO,z,
2572763,1004484,1,Conducente,1990,M,Rimandato,False,Utilizzato,NON DECEDUTO,z,Inesploso
2572763,1004484,1,Passeggero,1997,F,Rimandato,False,Utilizzato,NON DECEDUTO,z,Esploso
2572763,1004484,1,Passeggero,1996,M,Rimandato,False,Utilizzato,NON DECEDUTO,z,Inesploso
2572763,1004484,1,Passeggero,1996,M,Rimandato,False,Utilizzato,NON DECEDUTO,z,Inesploso
2572808,1004617,3,Conducente,1974,F,Rimandato,False,Non accertato,NON DECEDUTO,z,Inesploso
2572808,1004665,4,Conducente,1989,F,Rimandato,False,Non accertato,NON DECEDUTO,z,Inesploso
2572808,1004668,5,Conducente,1968,M,Rimandato,False,Non accertato,NON DECEDUTO,z,Esploso
2572811,1004498,1,Conducente,1988,F,Rimandato,False,Non accertato,NON DECEDUTO,z,Inesploso
2572834,1004518,3,Conducente,1981,M,Rimandato,False,Non accertato,NON DECEDUTO,z,Inesploso
2572886,1004523,1,Conducente,1983,M,Rimandato,False,Utilizzato,NON DECEDUTO,z,
2572887,1004527,2,Conducente,1966,M,Rifiuta cure immediate,False,Non accertato,NON DECEDUTO,z,
2572895,1004529,1,Conducente,1937,M,Rimandato,False,Non accertato,NON DECEDUTO,z,
2572978,1004577,2,Conducente,1988,M,Rimandato,False,,NON DECEDUTO,z,
2572996,1004561,2,Conducente,0,M,Rimandato,False,Esente,NON DECEDUTO,z,
2573012,1004572,2,Conducente,1993,F,Rimandato,False,Non accertato,NON DECEDUTO,z,
2573022,1004570,1,Conducente,0,M,Rifiuta cure immediate,False,,NON DECEDUTO,z,
2573049,1004600,1,Conducente,1990,M,Ricoverato,False,Non accertato,NON DECEDUTO,z,
2573072,1004599,1,Conducente,1957,F,Rimandato,False,Utilizzato,NON DECEDUTO,z,
2573072,1004599,1,Passeggero,0,F,Rimandato,False,,NON DECEDUTO,z,
2573072,1004599,1,Passeggero,0,M,Rimandato,False,,NON DECEDUTO,z,
2573072,1004628,3,Conducente,1985,F,Rimandato,False,,NON DECEDUTO,z,
2573079,1004625,1,Passeggero,0,F,Rimandato,False,Non accertato,NON DECEDUTO,z,Inesploso
2573079,1004625,1,Passeggero,0,M,Rimandato,False,Non accertato,NON DECEDUTO,z,Inesploso
2573079,1004625,1,Conducente,1996,M,Rimandato,False,,NON DECEDUTO,z,
2573079,1004625,1,Passeggero,0,F,Rimandato,False,Non accertato,NON DECEDUTO,z,Inesploso
2573079,1004632,2,Passeggero,0,F,Rimandato,False,Non accertato,NON DECEDUTO,z,Inesploso
2573093,1004609,1,Conducente,1976,M,Rimandato,False,Non accertato,NON DECEDUTO,z,
2573104,1004638,1,Conducente,1993,M,Rifiuta cure immediate,False,,NON DECEDUTO,z,
2573127,1004621,1,Conducente,1973,F,Rimandato,False,Non accertato,NON DECEDUTO,z,
2573127,1004624,2,Conducente,1971,M,Rimandato,False,Non accertato,NON DECEDUTO,z,
2573138,1004709,1,Conducente,1955,M,Rimandato,False,Non accertato,NON DECEDUTO,z,
2573138,1004629,2,Conducente,1985,M,Rimandato,False,,NON DECEDUTO,z,
2573138,1004629,2,Passeggero,1987,F,Rimandato,False,,NON DECEDUTO,z,
2573166,1004637,2,Conducente,1962,M,Rimandato,False,Non accertato,NON DECEDUTO,z,
2573224,1004695,2,Conducente,1992,M,Rimandato,False,,NON DECEDUTO,z,
2573228,1004693,1,Conducente,1950,M,Rimandato,False,Non accertato,NON DECEDUTO,z,
2573316,1004669,1,Conducente,1964,M,Rimandato,False,Non accertato,NON DECEDUTO,z,Inesploso
2573316,1004672,2,Conducente,1973,F,Rifiuta cure immediate,False,Non accertato,NON DECEDUTO,z,Inesploso
2573349,1004686,2,Conducente,1972,F,Rimandato,False,Non accertato,NON DECEDUTO,z,
2573422,1004699,2,Conducente,1997,M,Rimandato,False,Utilizzato,NON DECEDUTO,z,
2573483,1004715,2,Conducente,1958,M,Rimandato,False,Non accertato,NON DECEDUTO,z,
2573490,1004721,1,Conducente,1955,M,Prognosi riservata,False,Utilizzato,NON DECEDUTO,z,
2573490,1004726,2,Conducente,1956,M,Rimandato,False,,NON DECEDUTO,z,
2573499,1004734,2,Conducente,1975,F,Rimandato,False,Non accertato,NON DECEDUTO,z,
2573499,1004734,2,Passeggero,1941,F,Rimandato,False,,NON DECEDUTO,z,
2573503,1004738,2,Conducente,1991,F,Rimandato,False,Utilizzato,NON DECEDUTO,z,Inesploso
